,days_since_first_payment,average_total_net_revenue
0,0.0,4.881000000000001
1,1.0,12.218
2,2.0,77.38340749999999
3,3.0,705.2605433333332
4,4.0,175.9958766666667
5,5.0,450.0810233333334
6,6.0,776.22584
7,7.0,994.0251559999997
8,8.0,1142.1332300000006
9,9.0,2068.5157375999997
10,10.0,2827.7788900000005
11,11.0,3826.2694094000008
12,12.0,4733.781782399999
13,13.0,4900.380045
14,14.0,7374.870719400002
15,15.0,10060.8550898
16,16.0,13577.4557474
17,17.0,15858.6407562
18,18.0,17441.796080199998
19,19.0,22040.9380876
20,20.0,24603.9315312
21,21.0,27038.224394999997
22,22.0,33259.679953800005
23,23.0,37234.9784182
24,24.0,38744.59203959999
25,25.0,37865.2848254
26,26.0,36880.444619400005
27,27.0,43765.4503498
28,28.0,41429.262375999984
29,29.0,42885.423904799994
30,30.0,49612.475569199996
31,31.0,49247.536710399996
32,32.0,44562.000904399996
33,33.0,45171.62357399999
34,34.0,51867.4047696
35,35.0,53710.7905532
36,36.0,56929.7554608
37,37.0,60643.5837544
38,38.0,58773.17348320001
39,39.0,53068.36232220001
40,40.0,54837.279664999995
41,41.0,57928.120698599996
42,42.0,66403.1080878
43,43.0,64528.380562800005
44,44.0,69401.8356436
45,45.0,73896.9169334
46,46.0,68802.4167186
47,47.0,64005.6345188
48,48.0,66641.3212438
49,49.0,74179.3522842
50,50.0,75346.72028719999
51,51.0,79135.9099456
52,52.0,78556.9581222
53,53.0,73757.84028180002
54,54.0,77258.0475694
55,55.0,74208.2024956
56,56.0,86037.6331976
57,57.0,92932.91308140001
58,58.0,104578.49643859998
59,59.0,98782.73124040003
60,60.0,95245.95484420001
